"id","timestamp1","source","actiontag","event_id","event_type","event_category","event_author","eventcreated","change_id","change_source","changetimestamp","change_targetasrobject_id","change_targetasrobject_origin","change_targetasrobject_destination","change_targetasrobject_flightnumber","change_targetasrobject_carrier","scheduledstart","scheduledend","change_attributes_last_aircraft_assigned","eobt","eibt","change_attributes_last_delay_applied","change_attributes_last_delay_on_arrival_applied"
"OPER-QLK_MVT_190512T20:04__VZCcoz4","2019-05-13 17:52:28.000","gui:scr11:actiontag:Create Flight-Leg~!~6002~!~VHEBJ~!~Local__D2gxGGc","Create Flight-Leg~","OPER-QLK_MVT_190512T20:04","MVT","OPER-QLK","cpe97","2019-05-12 20:04:47.000","QF_6002_MEL_SYD_19-05-14__ZRkv6BU","gui:scr11:actiontag:Create Flight-Leg~!~6002~!~VHEBJ~!~Local__D2gxGGc","2019-05-13 17:52:25.000","QF_6002_MEL_SYD_19-05-14","MEL","SYD","6002","QF","2019-05-14 02:00:00.000","2019-05-14 03:25:00.000","",,,,
"PLAN_MAINT-DOM_190513T20:30__BcRgys8","2019-05-14 09:02:34.000","gui:scr11:actiontag:Create Flight-Leg~!~6004~!~VHOJU~!~Local__q86cq2o","Create Flight-Leg~","PLAN_MAINT-DOM_190513T20:30","MAINT-DOM","PLAN","345090","2019-05-13 20:30:32.000","QF_6004_CNS_SYD_19-05-16__dgaM_F0","gui:scr11:actiontag:Create Flight-Leg~!~6004~!~VHOJU~!~Local__q86cq2o","2019-05-14 09:01:03.000","QF_6004_CNS_SYD_19-05-16","CNS","SYD","6004","QF","2019-05-16 05:00:00.000","2019-05-16 07:50:00.000","",,,,
"MECH_MAINT_VHZNA_190510T01:16__eKfRLXg","2019-05-10 02:32:40.000","gui:aco53:actiontag:Create Flight-Leg~!~6011~!~VHZNA~!~Local__iTdwi7M","Create Flight-Leg~","MECH_MAINT_VHZNA_190510T01:16","MAINT","MECH","SVA33","2019-05-10 01:16:58.000","QF_6011_MEL_SYD_19-05-13__QSXJSmI","gui:aco53:actiontag:Create Flight-Leg~!~6011~!~VHZNA~!~Local__iTdwi7M","2019-05-10 02:25:19.000","QF_6011_MEL_SYD_19-05-13","MEL","SYD","6011","QF","2019-05-12 21:00:00.000","2019-05-12 22:30:00.000","",,,,
"MECH_MAINT_VHEBL_190513T19:20__QcTCMh4","2019-05-13 19:21:09.000","gui:scr11:actiontag:Create Flight-Leg~!~6012~!~VHVYA~!~Local__A0rSEEs","Create Flight-Leg~","MECH_MAINT_VHEBL_190513T19:20","MAINT","MECH","scr11","2019-05-13 19:20:21.000","QF_6012_PER_BME_19-05-14__Cji0NBk","gui:scr11:actiontag:Create Flight-Leg~!~6012~!~VHVYA~!~Local__A0rSEEs","2019-05-13 19:18:06.000","QF_6012_PER_BME_19-05-14","PER","BME","6012","QF","2019-05-13 22:30:00.000","2019-05-14 00:55:00.000","",,,,
"MECH_MAINT_VHZNA_190510T01:16__8zqZKUI","2019-05-10 02:32:40.000","gui:aco53:actiontag:Create Flight-Leg~!~6016~!~VHZND~!~Local__dYyU3o0","Create Flight-Leg~","MECH_MAINT_VHZNA_190510T01:16","MAINT","MECH","SVA33","2019-05-10 01:16:58.000","QF_6016_BNE_SYD_19-05-11__BVXuLtI","gui:aco53:actiontag:Create Flight-Leg~!~6016~!~VHZND~!~Local__dYyU3o0","2019-05-10 02:23:56.000","QF_6016_BNE_SYD_19-05-11","BNE","SYD","6016","QF","2019-05-10 20:00:00.000","2019-05-10 21:35:00.000","",,,,
"MECH_MAINT_VHZNA_190510T01:16__EghhxDk","2019-05-10 02:32:40.000","gui:aco53:actiontag:Create Flight-Leg~!~6021~!~VHZND~!~Local__NaS-89k","Create Flight-Leg~","MECH_MAINT_VHZNA_190510T01:16","MAINT","MECH","SVA33","2019-05-10 01:16:58.000","QF_6021_SYD_BNE_19-05-13__2xX8GCU","gui:aco53:actiontag:Create Flight-Leg~!~6021~!~VHZND~!~Local__NaS-89k","2019-05-10 02:26:03.000","QF_6021_SYD_BNE_19-05-13","SYD","BNE","6021","QF","2019-05-12 23:30:00.000","2019-05-13 01:00:00.000","",,,,
"MECH_MAINT_VHZNA_190510T01:16__cZpDzS0","2019-05-10 02:32:40.000","gui:aco53:actiontag:Create Flight-Leg~!~6026~!~VHZNA~!~Local__oBOkOug","Create Flight-Leg~","MECH_MAINT_VHZNA_190510T01:16","MAINT","MECH","SVA33","2019-05-10 01:16:58.000","QF_6026_SYD_MEL_19-05-11__Pp6SPew","gui:aco53:actiontag:Create Flight-Leg~!~6026~!~VHZNA~!~Local__oBOkOug","2019-05-10 02:24:37.000","QF_6026_SYD_MEL_19-05-11","SYD","MEL","6026","QF","2019-05-10 22:30:00.000","2019-05-11 00:00:00.000","",,,,
"MECH_MAINT_VHVZC_190513T04:38__tTE3Gbk","2019-05-13 06:39:57.000","gui:kpa49:actiontag:Create Flight-Leg~!~6111~!~VHVZC~!~Local__vCwl7Jw","Create Flight-Leg~","MECH_MAINT_VHVZC_190513T04:38","MAINT","MECH","kpa49","2019-05-13 04:38:30.000","QF_6111_HBA_MEL_19-05-13__8MrL3PA","gui:kpa49:actiontag:Create Flight-Leg~!~6111~!~VHVZC~!~Local__vCwl7Jw","2019-05-13 06:39:19.000","QF_6111_HBA_MEL_19-05-13","HBA","MEL","6111","QF","2019-05-13 07:00:00.000","2019-05-13 08:15:00.000","",,,,
"MECH_MAINT_VHVYD_190507T03:05__zt1hNWU","2019-05-07 03:15:18.000","gui:319288:actiontag:Create Flight-Leg~!~6112~!~VHVYD~!~Local__9PTLqIY","Create Flight-Leg~","MECH_MAINT_VHVYD_190507T03:05","MAINT","MECH","267355","2019-05-07 03:05:02.000","QF_6112_MEL_SYD_19-05-07__86eDQNs","gui:319288:actiontag:Create Flight-Leg~!~6112~!~VHVYD~!~Local__9PTLqIY","2019-05-07 03:12:36.000","QF_6112_MEL_SYD_19-05-07","MEL","SYD","6112","QF","2019-05-07 07:35:00.000","2019-05-07 09:00:00.000","",,,,
"MECH_MAINT_VHVXF_190430T21:02__irEvpDw","2019-04-30 21:46:58.000","gui:kpa49:actiontag:Create Flight-Leg~!~6113~!~VHXZE~!~Local__Qa8sry8","Create Flight-Leg~","MECH_MAINT_VHVXF_190430T21:02","MAINT","MECH","kpa49","2019-04-30 21:02:30.000","QF_6113_ADL_MEL_19-05-01__9dDH1aQ","gui:kpa49:actiontag:Create Flight-Leg~!~6113~!~VHXZE~!~Local__Qa8sry8","2019-04-30 21:45:16.000","QF_6113_ADL_MEL_19-05-01","ADL","MEL","6113","QF","2019-05-01 01:00:00.000","2019-05-01 02:20:00.000","",,,,
