"id","change_attributes_block_ids","change_targetasrobject_id","change_targetasrobject_origin","change_targetasrobject_destination","change_targetasrobject_flightnumber","change_targetasrobject_carrier","change_targetasrobject_scheduledbase","timestamp1","source","actiontag","event_id","event_type","event_category","event_author","eventcreated","change_id","change_source","changetimestamp","scheduledstart","scheduledend","change_attributes_last_aircraft_assigned","eobt","eibt","change_attributes_last_delay_applied","change_attributes_last_delay_on_arrival_applied"
"OPER-QLK_Other_190530T04:18__MDtsojU",,"QF_6670_BNE_SYD_19-05-30","BNE","SYD","6670","QF","","2019-05-30 04:20:00.000","gui:cre27:actiontag:Create Flight-Leg~!~6670~!~VHQOA~!~Local__gNnSCC0","Create Flight-Leg","OPER-QLK_Other_190530T04:18","Other","OPER-QLK","cre27","2019-05-30 04:18:08.000","QF_6670_BNE_SYD_19-05-30__veZV6bU","gui:cre27:actiontag:Create Flight-Leg~!~6670~!~VHQOA~!~Local__gNnSCC0","2019-05-30 04:19:19.000","2019-05-30 10:30:00.000","2019-05-30 12:20:00.000","",,,,
"OPER-QLK_Other_190530T20:23__nKLbQZI",,"QF_6714_CBR_SYD_19-05-31","CBR","SYD","6714","QF","","2019-05-30 20:28:59.000","gui:cre27:actiontag:Create Flight-Leg~!~6714~!~VHLQK~!~Local__2pS8Zx8","Create Flight-Leg","OPER-QLK_Other_190530T20:23","Other","OPER-QLK","cre27","2019-05-30 20:23:37.000","QF_6714_CBR_SYD_19-05-31__g42HRO0","gui:cre27:actiontag:Create Flight-Leg~!~6714~!~VHLQK~!~Local__2pS8Zx8","2019-05-30 20:24:17.000","2019-05-31 00:00:00.000","2019-05-31 00:55:00.000","",,,,
"MECH_MAINT_VHEBP_190410T20:20__f7bqbrM",,"QF_6005_BNE_SYD_19-04-12","BNE","SYD","6005","QF","","2019-04-11 08:14:20.000","gui:BCO07:actiontag:Create Flight-Leg~!~6005~!~VHQPA~!~Local__-mfyUws","Create Flight-Leg","MECH_MAINT_VHEBP_190410T20:20","MAINT","MECH","kpa49","2019-04-10 20:20:41.000","QF_6005_BNE_SYD_19-04-12___wtP2AM","gui:BCO07:actiontag:Create Flight-Leg~!~6005~!~VHQPA~!~Local__-mfyUws","2019-04-11 08:00:46.000","2019-04-12 01:00:00.000","2019-04-12 02:35:00.000","",,,,
"MECH-QLK_AOG_VHVQS_190113T05:13___t14oOU",,"QF_6683_BME_PER_19-01-13","BME","PER","6683","QF","","2019-01-13 06:13:09.000","gui:197721:actiontag:Create Flight-Leg~!~6683~!~VHVQS~!~Local__J-hD6cA","Create Flight-Leg","MECH-QLK_AOG_VHVQS_190113T05:13","AOG","MECH-QLK","197721","2019-01-13 05:13:48.000","QF_6683_BME_PER_19-01-13__rE54MJE","gui:197721:actiontag:Create Flight-Leg~!~6683~!~VHVQS~!~Local__J-hD6cA","2019-01-13 06:13:03.000","2019-01-13 11:30:00.000","2019-01-13 14:00:00.000","",,,,
"MECH_MAINT_VHVXQ_190202T09:03__ZFOATVU",,"QF_6117_SYD_OOL_19-02-03","SYD","OOL","6117","QF","","2019-02-02 10:55:00.000","gui:fst11:actiontag:Create Flight-Leg~!~6117~!~VHVXQ~!~Local__tfwOHUY","Create Flight-Leg","MECH_MAINT_VHVXQ_190202T09:03","MAINT","MECH","931728","2019-02-02 09:03:49.000","QF_6117_SYD_OOL_19-02-03__YZh1bgQ","gui:fst11:actiontag:Create Flight-Leg~!~6117~!~VHVXQ~!~Local__tfwOHUY","2019-02-02 10:54:05.000","2019-02-02 19:15:00.000","2019-02-02 20:40:00.000","",,,,
"MECH-QLK_AOG_VHNHF_190301T04:35__yVIKZcg",,"QF_6682_PER_SLJ_19-03-01","PER","SLJ","6682","QF","","2019-03-01 04:35:09.000","gui:612184:actiontag:Create Flight-Leg~!~6682~!~VHNHN~!~Local__ZiQVJ5Q","Create Flight-Leg","MECH-QLK_AOG_VHNHF_190301T04:35","AOG","MECH-QLK","612184","2019-03-01 04:35:04.000","QF_6682_PER_SLJ_19-03-01__FP6gNZw","gui:612184:actiontag:Create Flight-Leg~!~6682~!~VHNHN~!~Local__ZiQVJ5Q","2019-03-01 04:33:12.000","2019-03-01 07:30:00.000","2019-03-01 09:20:00.000","",,,,
"OPER_FREIGHT_QF_7350_MEL_BNE_19-06-05_190605T13:13__q7DPbT8",,"QF_6124_SYD_BNE_19-06-06","SYD","BNE","6124","QF","","2019-06-05 17:19:44.000","gui:rdo53:actiontag:Create Flight-Leg~!~6124~!~VHVZK~!~Local__PWAWz9g","Create Flight-Leg","OPER_FREIGHT_QF_7350_MEL_BNE_19-06-05_190605T13:13","FREIGHT","OPER","dba12","2019-06-05 13:13:21.000","QF_6124_SYD_BNE_19-06-06__si40FzI","gui:rdo53:actiontag:Create Flight-Leg~!~6124~!~VHVZK~!~Local__PWAWz9g","2019-06-05 17:19:41.000","2019-06-06 01:30:00.000","2019-06-06 03:00:00.000","",,,,
"WX_5NM_SYD_190105T05:40__UCqSx00",,"QF_6127_BNE_SYD_19-01-06","BNE","SYD","6127","QF","","2019-01-05 12:52:31.000","gui:SCR11:actiontag:Create Flight-Leg~!~6127~!~VHVZJ~!~Local__bP2IQYg","Create Flight-Leg","WX_5NM_SYD_190105T05:40","5NM","WX","bco07","2019-01-05 05:40:07.000","QF_6127_BNE_SYD_19-01-06__l0Bm7Ps","gui:SCR11:actiontag:Create Flight-Leg~!~6127~!~VHVZJ~!~Local__bP2IQYg","2019-01-05 12:52:22.000","2019-01-06 01:50:00.000","2019-01-06 03:25:00.000","",,,,
"WX_5NM_SYD_190105T05:40__9mjg8qs",,"QF_6137_MEL_SYD_19-01-06","MEL","SYD","6137","QF","","2019-01-05 22:03:14.000","gui:mhi01:actiontag:Create Flight-Leg~!~6137~!~VHEBF~!~Local__sibsTI0","Create Flight-Leg","WX_5NM_SYD_190105T05:40","5NM","WX","bco07","2019-01-05 05:40:07.000","QF_6137_MEL_SYD_19-01-06__NdltW7k","gui:mhi01:actiontag:Create Flight-Leg~!~6137~!~VHEBF~!~Local__sibsTI0","2019-01-05 21:48:43.000","2019-01-06 06:00:00.000","2019-01-06 07:25:00.000","",,,,
"WX_5NM_SYD_190105T05:40__qFZU4P4",,"QF_6117_SYD_ADL_19-01-06","SYD","ADL","6117","QF","","2019-01-05 11:56:34.000","gui:SCR11:actiontag:Create Flight-Leg~!~6117~!~VHVZJ~!~Local__yc9mCQw","Create Flight-Leg","WX_5NM_SYD_190105T05:40","5NM","WX","bco07","2019-01-05 05:40:07.000","QF_6117_SYD_ADL_19-01-06__i1ZS-Jo","gui:SCR11:actiontag:Create Flight-Leg~!~6117~!~VHVZJ~!~Local__yc9mCQw","2019-01-05 11:50:34.000","2019-01-05 23:00:00.000","2019-01-06 01:10:00.000","",,,,
