id,timestamp1,source,actiontag,event_id,event_type,event_category,event_author,eventcreated,change_id,change_source,changetimestamp,change_targetasrobject_id,change_targetasrobject_origin,change_targetasrobject_destination,change_targetasrobject_flightnumber,change_targetasrobject_carrier,scheduledstart,scheduledend,change_attributes_last_aircraft_assigned,eobt,eibt,change_attributes_last_delay_applied,change_attributes_last_delay_on_arrival_applied
PLAN_ALOC-DOM_190501T21:12__xLvcCEg,21:58.0,gui:220288:actiontag:Move Maintenance~!~VHVZZ~!~-1055 Mins.~!~Local__Bgh-Yfc,Move Maintenance~,PLAN_ALOC-DOM_190501T21:12,ALOC-DOM,PLAN,220288,12:21.0,-0BQrG0_SYD_QF_190505T11:00_190505T21:00__rakrkLY,gui:220288:actiontag:Move Maintenance~!~VHVZZ~!~-1055 Mins.~!~Local__Bgh-Yfc,21:11.0,-0BQrG0_SYD_QF_190505T11:00_190505T21:00,,,,QF,00:00.0,00:00.0,,,,,
PLAN_MAINT-DOM_190501T21:49__OD_w2LM,14:30.0,gui:356900:actiontag:Move Maintenance~!~VHVZZ~!~-438 Mins.~!~Local__v1gKoM0,Move Maintenance~,PLAN_MAINT-DOM_190501T21:49,MAINT-DOM,PLAN,356900,49:01.0,-0BQrG0_SYD_QF_190505T11:00_190505T21:00__lCzTXkw,gui:356900:actiontag:Move Maintenance~!~VHVZZ~!~-438 Mins.~!~Local__v1gKoM0,14:26.0,-0BQrG0_SYD_QF_190505T11:00_190505T21:00,,,,QF,00:00.0,00:00.0,,,,,
PLAN_MAINT-DOM_190501T21:49__gnA4_gM,23:46.0,gui:356900:actiontag:Update Maintenance~!~VHVZZ~!~ - ~!~Local__dYUWMeg,Update Maintenance~,PLAN_MAINT-DOM_190501T21:49,MAINT-DOM,PLAN,356900,49:01.0,-0BQrG0_SYD_QF_190505T11:00_190505T21:00__biXGt8U,gui:356900:actiontag:Update Maintenance~!~VHVZZ~!~ - ~!~Local__dYUWMeg,23:41.0,-0BQrG0_SYD_QF_190505T11:00_190505T21:00,,,,QF,00:00.0,00:00.0,,,,,
PLAN_MAINT-DOM_190501T21:49__BfaF2y8,37:06.0,gui:356900:actiontag:Update Maintenance~!~VHVZZ~!~ - ~!~Local___8OkkWQ,Update Maintenance~,PLAN_MAINT-DOM_190501T21:49,MAINT-DOM,PLAN,356900,49:01.0,-0BQrG0_SYD_QF_190505T11:00_190505T21:00__9Hz_xOw,gui:356900:actiontag:Update Maintenance~!~VHVZZ~!~ - ~!~Local___8OkkWQ,37:03.0,-0BQrG0_SYD_QF_190505T11:00_190505T21:00,,,,QF,00:00.0,00:00.0,,,,,
PLAN_ALOC-DOM_190502T21:46__njqqgY0,41:34.0,gui:220288:actiontag:Update Maintenance~!~VHVZZ~!~ - ~!~Local__zb1mkr4,Update Maintenance~,PLAN_ALOC-DOM_190502T21:46,ALOC-DOM,PLAN,220288,46:56.0,-0BQrG0_SYD_QF_190505T11:00_190505T21:00__XGr1dM0,gui:220288:actiontag:Update Maintenance~!~VHVZZ~!~ - ~!~Local__zb1mkr4,41:28.0,-0BQrG0_SYD_QF_190505T11:00_190505T21:00,,,,QF,00:00.0,00:00.0,,,,,
OPER_NON-REPORT_190506T22:23__e1xMJk8,57:17.0,gui:cje17:actiontag:Update Maintenance~!~VHVZZ~!~ - ~!~Local__NuKgdzk,Update Maintenance~,OPER_NON-REPORT_190506T22:23,NON-REPORT,OPER,364016,23:39.0,-0BQrG0_SYD_QF_190505T11:00_190505T21:00__iWXX8z0,gui:cje17:actiontag:Update Maintenance~!~VHVZZ~!~ - ~!~Local__NuKgdzk,52:14.0,-0BQrG0_SYD_QF_190505T11:00_190505T21:00,,,,QF,00:00.0,00:00.0,,,,,
OPER_NON-REPORT_190506T22:23__9Uh5jag,57:17.0,gui:cje17:actiontag:Update Maintenance~!~VHVZZ~!~ - ~!~Local__Bhg4wNM,Update Maintenance~,OPER_NON-REPORT_190506T22:23,NON-REPORT,OPER,364016,23:39.0,-0BQrG0_SYD_QF_190505T11:00_190505T21:00__A6UI7dI,gui:cje17:actiontag:Update Maintenance~!~VHVZZ~!~ - ~!~Local__Bhg4wNM,52:21.0,-0BQrG0_SYD_QF_190505T11:00_190505T21:00,,,,QF,00:00.0,00:00.0,,,,,
PLAN_MAINT-DOM_190507T20:45___wOv1c8,13:12.0,gui:356900:actiontag:Cancel Maintenance~!~VHVZZ~!~ - ~!~Local__LseeVHE,Cancel Maintenance~,PLAN_MAINT-DOM_190507T20:45,MAINT-DOM,PLAN,356900,45:12.0,-0BQrG0_SYD_QF_190505T11:00_190505T21:00__l9RnfWE,gui:356900:actiontag:Cancel Maintenance~!~VHVZZ~!~ - ~!~Local__LseeVHE,13:10.0,-0BQrG0_SYD_QF_190505T11:00_190505T21:00,,,,QF,00:00.0,00:00.0,,,,,
PLAN-QLK_ALL_190430T08:23__CwxpSTY,22:12.0,gui:198169:actiontag:Create Maintenance~!~VHQOK~!~VHQOK~!~Local__KeinQgE,Create Maintenance~,PLAN-QLK_ALL_190430T08:23,ALL,PLAN-QLK,176171,23:17.0,-2apz4A_SYD_QF_190502T00:10_190502T02:20__rBT23qk,gui:198169:actiontag:Create Maintenance~!~VHQOK~!~VHQOK~!~Local__KeinQgE,22:09.0,-2apz4A_SYD_QF_190502T00:10_190502T02:20,,,,QF,10:00.0,20:00.0,,,,,
ATFM_COBT_190430T03:35__lNbZ42Q,21:41.0,gui:128801:actiontag:Delay Start Maintenance~!~VHQOK~!~20 Mins.~!~Local__z6WRGtI,Delay Start Maintenance~,ATFM_COBT_190430T03:35,COBT,ATFM,179575,35:41.0,-2apz4A_SYD_QF_190502T00:10_190502T02:20__eU-ucSE,gui:128801:actiontag:Delay Start Maintenance~!~VHQOK~!~20 Mins.~!~Local__z6WRGtI,21:34.0,-2apz4A_SYD_QF_190502T00:10_190502T02:20,,,,QF,10:00.0,20:00.0,,,,,
