rego,fleet,fleet_subtype
AC807,787,788
CCBBB,787,788
N273NN,EMJ,E75
N807AA,787,788
N828AW,319,319
VHXZC,737,73H
A6ENN,777,77W
B8689,330,333
BKPZ,777,77W
N129HQ,EMJ,E75
N335PH,737,738
N391HA,330,332
N446YX,EMJ,E75
N656AE,ERJ,ER4
VHYQS,717,717
AC840,787,788
B5942,330,332
FLJSB,320,320
HL7428,747,744
N507AE,CR7,CR7
N557UW,321,321
N924NN,737,738
N989NN,737,738
ZKOKM,777,77W
BLAL,330,333
C246,737,73W
HL7791,777,77L
N693AE,ERJ,ER4
N9011P,319,319
CCBER,321,321
N125AA,321,321
N181UW,321,321
N587UW,321,321
N800AN,787,788
N931AM,321,321
VHNXL,717,717
VHVKA,787,788
A6EDW,380,388
CCBGE,787,789
DQFJO,330,330
N329HA,330,332
A6ENK,777,77W
C008,737,73W
N411YX,EMJ,E75
N676AN,321,321
N973NN,737,738
VHJQG,320,320
VHLQD,DH8,DH4
VHVWU,321,321
ZSSXC,340,343
C448,DH8,DH4
CCBBI,787,789
HL8254,777,77L
N395HA,JET,332
N797AN,777,772
N822NN,737,738
N830AE,ERD,ERD
N946UW,E90,E90
A6EPZ,777,77W
N703UW,319,319
N9630A,M80,M80
A6EWF,777,77L
B5975,330,332
CCBFQ,32S,320
N389AA,757,757
RPC3506,350,359
B6093,330,333
C415,DH8,DH4
FOJGF,340,343
HL7732,777,77L
N373AA,767,763
N675AW,320,320
N833AN,787,789
N877NN,737,738
N9029F,319,319
N918AN,737,738
FOFDF,330,332
N611QX,CR7,CR7
RPC3436,340,343
VHOJU,747,744
VHZNF,787,789
CCBFK,32S,320
N123HQ,EMJ,E75
N718AN,777,77W
N775AN,777,772
N947AN,737,738
VHVYF,737,73H
ZKOJF,32S,320
ZKOKI,777,772
ZSSXG,340,343
BLHQ,330,333
C260,737,73W
C265,737,73W
CFIUF,777,77L
N8027D,319,319
N804NN,737,738
N928AN,737,738
VHQPB,330,333
B5965,330,333
B6515,330,330
C818,737,73H
N124US,32S,320
N138HQ,EMJ,E75
N155UW,321,321
N397AN,330,332
N567UW,321,321
N768US,319,319
N804AN,787,788
N921AN,737,738
ZKNZI,787,789
A6EPD,777,77W
N660CL,ERJ,ER4
N866AS,CRJ,CRJ
VHVKL,787,788
CCCOL,32S,320
CFRSO,787,789
N407YX,EMJ,E75
N754EV,CR7,CR7
N933AM,321,321
N971UY,321,321
VHQOB,DH8,DH4
ZKNZM,787,789
A6EBA,777,77W
A6EOC,380,388
C302,737,7M8
HL7626,380,388
N125HQ,EMJ,E75
N316RK,321,321
N622AE,ERJ,ER4
N963AN,737,738
VHVFX,320,320
A6ECE,777,77W
A6EOY,380,388
CCBFH,32S,320
DQFJF,737,73W
N624AE,ERJ,ER4
N980AN,737,738
P2ANQ,100,100
C233,737,73W
HL7795,330,333
N275AY,330,333
N738SK,CR7,CR7
N855NN,737,738
N925UY,321,321
VHEBB,330,332
VHVZY,737,73H
A6EBL,777,77W
CGHPY,787,788
N526EA,CR7,CR7
N910NN,737,738
VNA864,787,788
